sk_tempo,ano,mes,ano_mes,safra_agricola,diagnostico_causa_risco
2020-03-01,2020,3,2020-03,2019/2020,Oscilações de Mercado / Custo de Insumos
2021-03-01,2021,3,2021-03,2020/2021,Oscilações de Mercado / Custo de Insumos
2021-11-01,2021,11,2021-11,2021/2022,Oscilações de Mercado / Custo de Insumos
2022-03-01,2022,3,2022-03,2021/2022,Oscilações de Mercado / Custo de Insumos
2022-05-01,2022,5,2022-05,2021/2022,Oscilações de Mercado / Custo de Insumos
2022-11-01,2022,11,2022-11,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2022-12-01,2022,12,2022-12,2022/2023,Oscilações de Mercado / Custo de Insumos
2023-05-01,2023,5,2023-05,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2024-04-01,2024,4,2024-04,2023/2024,Atraso de Transplante e Perda de Estufas
2025-06-01,2025,6,2025-06,2024/2025,Atraso de Transplante e Perda de Estufas
2020-02-01,2020,2,2020-02,2019/2020,Oscilações de Mercado / Custo de Insumos
2021-05-01,2021,5,2021-05,2020/2021,Oscilações de Mercado / Custo de Insumos
2022-01-01,2022,1,2022-01,2021/2022,Estiagem Severa (Quebra de Grãos / Soja)
2022-06-01,2022,6,2022-06,2021/2022,Oscilações de Mercado / Custo de Insumos
2022-08-01,2022,8,2022-08,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2022-12-01,2022,12,2022-12,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2023-02-01,2023,2,2023-02,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2023-03-01,2023,3,2023-03,2022/2023,Oscilações de Mercado / Custo de Insumos
2023-11-01,2023,11,2023-11,2023/2024,Estiagem Severa (Quebra de Grãos / Soja)
2024-06-01,2024,6,2024-06,2023/2024,Oscilações de Mercado / Custo de Insumos
2026-02-01,2026,2,2026-02,2025/2026,Atraso de Transplante e Perda de Estufas
2026-06-01,2026,6,2026-06,2025/2026,Oscilações de Mercado / Custo de Insumos
2022-01-01,2022,1,2022-01,2021/2022,Oscilações de Mercado / Custo de Insumos
2024-03-01,2024,3,2024-03,2023/2024,Atraso de Transplante e Perda de Estufas
2025-02-01,2025,2,2025-02,2024/2025,Atraso de Transplante e Perda de Estufas
2025-05-01,2025,5,2025-05,2024/2025,Atraso de Transplante e Perda de Estufas
2025-07-01,2025,7,2025-07,2025/2026,Oscilações de Mercado / Custo de Insumos
2021-06-01,2021,6,2021-06,2020/2021,Oscilações de Mercado / Custo de Insumos
2021-10-01,2021,10,2021-10,2021/2022,Oscilações de Mercado / Custo de Insumos
2022-02-01,2022,2,2022-02,2021/2022,Estiagem Severa (Quebra de Grãos / Soja)
2022-03-01,2022,3,2022-03,2021/2022,Estiagem Severa (Quebra de Grãos / Soja)
2023-09-01,2023,9,2023-09,2023/2024,Estiagem Severa (Quebra de Grãos / Soja)
2024-07-01,2024,7,2024-07,2024/2025,Enchentes Históricas / Calamidade Hídrica
2024-08-01,2024,8,2024-08,2024/2025,Oscilações de Mercado / Custo de Insumos
2024-11-01,2024,11,2024-11,2024/2025,Oscilações de Mercado / Custo de Insumos
2025-04-01,2025,4,2025-04,2024/2025,Oscilações de Mercado / Custo de Insumos
2025-10-01,2025,10,2025-10,2025/2026,Oscilações de Mercado / Custo de Insumos
2026-09-01,2026,9,2026-09,2026/2027,Atraso de Transplante e Perda de Estufas
2026-09-01,2026,9,2026-09,2026/2027,Oscilações de Mercado / Custo de Insumos
2020-10-01,2020,10,2020-10,2020/2021,Oscilações de Mercado / Custo de Insumos
2021-02-01,2021,2,2021-02,2020/2021,Oscilações de Mercado / Custo de Insumos
2024-06-01,2024,6,2024-06,2023/2024,Enchentes Históricas / Calamidade Hídrica
2025-10-01,2025,10,2025-10,2025/2026,Atraso de Transplante e Perda de Estufas
2022-04-01,2022,4,2022-04,2021/2022,Oscilações de Mercado / Custo de Insumos
2022-10-01,2022,10,2022-10,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2023-04-01,2023,4,2023-04,2022/2023,Estiagem Severa (Quebra de Grãos / Soja)
2023-07-01,2023,7,2023-07,2023/2024,Oscilações de Mercado / Custo de Insumos
2023-09-01,2023,9,2023-09,2023/2024,Oscilações de Mercado / Custo de Insumos
2026-11-01,2026,11,2026-11,2026/2027,Atraso de Transplante e Perda de Estufas
2020-01-01,2020,1,2020-01,2019/2020,Oscilações de Mercado / Custo de Insumos
2021-08-01,2021,8,2021-08,2021/2022,Oscilações de Mercado / Custo de Insumos
2024-04-01,2024,4,2024-04,2023/2024,Oscilações de Mercado / Custo de Insumos
2025-01-01,2025,1,2025-01,2024/2025,Atraso de Transplante e Perda de Estufas
2025-07-01,2025,7,2025-07,2025/2026,Atraso de Transplante e Perda de Estufas
2025-08-01,2025,8,2025-08,2025/2026,Atraso de Transplante e Perda de Estufas
2025-11-01,2025,11,2025-11,2025/2026,Atraso de Transplante e Perda de Estufas
2026-05-01,2026,5,2026-05,2025/2026,Oscilações de Mercado / Custo de Insumos
2020-12-01,2020,12,2020-12,2020/2021,Oscilações de Mercado / Custo de Insumos
2022-10-01,2022,10,2022-10,2022/2023,Oscilações de Mercado / Custo de Insumos
2023-04-01,2023,4,2023-04,2022/2023,Oscilações de Mercado / Custo de Insumos
2024-01-01,2024,1,2024-01,2023/2024,Atraso de Transplante e Perda de Estufas
2024-02-01,2024,2,2024-02,2023/2024,Oscilações de Mercado / Custo de Insumos
2024-09-01,2024,9,2024-09,2024/2025,Oscilações de Mercado / Custo de Insumos
2026-03-01,2026,3,2026-03,2025/2026,Oscilações de Mercado / Custo de Insumos
2026-04-01,2026,4,2026-04,2025/2026,Atraso de Transplante e Perda de Estufas
