fk_tempo,fk_regiao,fk_cultura,diagnostico_causa_risco,total_custeio_contratado,total_contratos,taxa_inadimplencia_referencia_bcb,taxa_selic_mensal
2020-02-01,3,10,Oscilações de Mercado / Custo de Insumos,15939933.86859389,96,2.38,0.29
2020-03-01,15,3,Oscilações de Mercado / Custo de Insumos,43602248.58753128,172,2.44,0.34
2020-04-01,6,8,Oscilações de Mercado / Custo de Insumos,4683360.422625131,204,2.48,0.28
2020-04-01,3,10,Oscilações de Mercado / Custo de Insumos,8858603.145521263,65,2.48,0.28
2020-04-01,5,7,Oscilações de Mercado / Custo de Insumos,26504234.242508,166,2.48,0.28
2020-05-01,13,13,Oscilações de Mercado / Custo de Insumos,7570315.446217366,201,2.49,0.24
2020-06-01,10,11,Oscilações de Mercado / Custo de Insumos,16427288.484505957,154,2.06,0.21
2020-06-01,14,1,Oscilações de Mercado / Custo de Insumos,14523080.343959138,96,2.06,0.21
2020-08-01,7,1,Oscilações de Mercado / Custo de Insumos,15380236.891929902,141,1.74,0.16
2020-08-01,13,13,Oscilações de Mercado / Custo de Insumos,18250833.671654265,71,1.74,0.16
2020-08-01,14,1,Oscilações de Mercado / Custo de Insumos,10655473.109510237,129,1.74,0.16
2020-09-01,8,1,Oscilações de Mercado / Custo de Insumos,13389628.418954937,15,1.66,0.16
2020-11-01,13,13,Oscilações de Mercado / Custo de Insumos,2826681.758901932,171,1.6,0.15
2020-12-01,15,11,Oscilações de Mercado / Custo de Insumos,4501845.363501434,113,1.52,0.16
2021-01-01,13,13,Oscilações de Mercado / Custo de Insumos,2097465.4929063795,187,1.67,0.15
2021-02-01,16,6,Oscilações de Mercado / Custo de Insumos,25880831.74030088,217,1.65,0.13
2021-03-01,13,13,Oscilações de Mercado / Custo de Insumos,2764732.932062974,112,1.72,0.2
2021-07-01,5,7,Oscilações de Mercado / Custo de Insumos,23868627.72481236,69,1.74,0.36
2021-08-01,16,6,Oscilações de Mercado / Custo de Insumos,14287430.484111995,150,1.72,0.43
2021-08-01,2,11,Oscilações de Mercado / Custo de Insumos,3157776.664747585,17,1.72,0.43
2021-08-01,8,5,Oscilações de Mercado / Custo de Insumos,5437209.064180934,79,1.72,0.43
2021-10-01,9,2,Oscilações de Mercado / Custo de Insumos,17494569.357165955,57,1.68,0.49
2021-11-01,4,9,Oscilações de Mercado / Custo de Insumos,25871263.68323156,114,1.73,0.59
